インデックス	和暦	西暦
index	year_japanese	year_global
1	明治元年	1868年
1	明治2年	1869年
1	明治3年	1870年
1	明治4年	1871年
1	明治5年	1872年
1	明治6年	1873年
1	明治7年	1874年
1	明治8年	1875年
1	明治9年	1876年
1	明治10年	1877年
1	明治11年	1878年
1	明治12年	1879年
1	明治13年	1880年
1	明治14年	1881年
1	明治15年	1882年
1	明治16年	1883年
1	明治17年	1884年
1	明治18年	1885年
1	明治19年	1886年
1	明治20年	1887年
1	明治21年	1888年
1	明治22年	1889年
1	明治23年	1890年
1	明治24年	1891年
1	明治25年	1892年
1	明治26年	1893年
1	明治27年	1894年
1	明治28年	1895年
1	明治29年	1896年
1	明治30年	1897年
1	明治31年	1898年
1	明治32年	1899年
1	明治33年	1900年
1	明治34年	1901年
1	明治35年	1902年
1	明治36年	1903年
1	明治37年	1904年
1	明治38年	1905年
1	明治39年	1906年
1	明治40年	1907年
1	明治41年	1908年
1	明治42年	1909年
1	明治43年	1910年
1	明治44年	1911年
1	明治45年	1912年
2	大正元年	1912年
3	明治45年・大正元年	1912年
1	大正2年	1913年
1	大正3年	1914年
1	大正4年	1915年
1	大正5年	1916年
1	大正6年	1917年
1	大正7年	1918年
1	大正8年	1919年
1	大正9年	1920年
1	大正10年	1921年
1	大正11年	1922年
1	大正12年	1923年
1	大正13年	1924年
1	大正14年	1925年
1	大正15年	1926年
2	昭和元年	1926年
3	大正15年・昭和元年	1926年
1	昭和2年	1927年
1	昭和3年	1928年
1	昭和4年	1929年
1	昭和5年	1930年
1	昭和6年	1931年
1	昭和7年	1932年
1	昭和8年	1933年
1	昭和9年	1934年
1	昭和10年	1935年
1	昭和11年	1936年
1	昭和12年	1937年
1	昭和13年	1938年
1	昭和14年	1939年
1	昭和15年	1940年
1	昭和16年	1941年
1	昭和17年	1942年
1	昭和18年	1943年
1	昭和19年	1944年
1	昭和20年	1945年
1	昭和21年	1946年
1	昭和22年	1947年
1	昭和23年	1948年
1	昭和24年	1949年
1	昭和25年	1950年
1	昭和26年	1951年
1	昭和27年	1952年
1	昭和28年	1953年
1	昭和29年	1954年
1	昭和30年	1955年
1	昭和31年	1956年
1	昭和32年	1957年
1	昭和33年	1958年
1	昭和34年	1959年
1	昭和35年	1960年
1	昭和36年	1961年
1	昭和37年	1962年
1	昭和38年	1963年
1	昭和39年	1964年
1	昭和40年	1965年
1	昭和41年	1966年
1	昭和42年	1967年
1	昭和43年	1968年
1	昭和44年	1969年
1	昭和45年	1970年
1	昭和46年	1971年
1	昭和47年	1972年
1	昭和48年	1973年
1	昭和49年	1974年
1	昭和50年	1975年
1	昭和51年	1976年
1	昭和52年	1977年
1	昭和53年	1978年
1	昭和54年	1979年
1	昭和55年	1980年
1	昭和56年	1981年
1	昭和57年	1982年
1	昭和58年	1983年
1	昭和59年	1984年
1	昭和60年	1985年
1	昭和61年	1986年
1	昭和62年	1987年
1	昭和63年	1988年
1	昭和64年	1989年
2	平成元年	1989年
3	昭和64年・平成元年	1989年
1	平成2年	1990年
1	平成3年	1991年
1	平成4年	1992年
1	平成5年	1993年
1	平成6年	1994年
1	平成7年	1995年
1	平成8年	1996年
1	平成9年	1997年
1	平成10年	1998年
1	平成11年	1999年
1	平成12年	2000年
1	平成13年	2001年
1	平成14年	2002年
1	平成15年	2003年
1	平成16年	2004年
1	平成17年	2005年
1	平成18年	2006年
1	平成19年	2007年
1	平成20年	2008年
1	平成21年	2009年
1	平成22年	2010年
1	平成23年	2011年
1	平成24年	2012年
1	平成25年	2013年
1	平成26年	2014年
1	平成27年	2015年
1	平成28年	2016年
1	平成29年	2017年
1	平成30年	2018年
1	平成31年	2019年
2	令和元年	2019年
3	平成31年・令和元年	2019年
1	令和2年	2020年
1	令和3年	2021年
1	令和4年	2022年
1	令和5年	2023年
1	令和6年	2024年
1	令和7年	2025年
1	令和8年	2026年
1	令和9年	2027年
1	令和10年	2028年
1	令和11年	2029年
1	令和12年	2030年
1	令和13年	2031年
1	令和14年	2032年
1	令和15年	2033年
1	令和16年	2034年
1	令和17年	2035年
1	令和18年	2036年
1	令和19年	2037年
1	令和20年	2038年
1	令和21年	2039年
1	令和22年	2040年
1	令和23年	2041年
1	令和24年	2042年
1	令和25年	2043年
1	令和26年	2044年
1	令和27年	2045年
1	令和28年	2046年
1	令和29年	2047年
1	令和30年	2048年
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
